Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
First official language spoken,  English,NA,2508815,NA,1219600,,1289220,,2508815,NA,1219600,,1289220,
First official language spoken,  French,NA,39795,NA,18805,,20995,,39795,NA,18805,,20995,
First official language spoken,  English and French,NA,24865,NA,11205,,13660,,24865,NA,11205,,13660,
First official language spoken,  Neither English nor French,NA,130940,NA,52295,,78640,,130940,NA,52295,,78640,
First official language spoken,Official language minority (number),17,52230,NA,24405,,27820,,52230,NA,24405,,27820,
First official language spoken,Official language minority (percentage),17,1.9,NA,1.9,,2,,1.9,NA,1.9,,2,
Mother tongue,Total - Mother tongue for the total population excluding institutional residents - 100% data,18,2704420,NA,1301905,,1402515,,2704420,NA,1301905,,1402515,
Mother tongue,  Single responses,NA,2598230,NA,1251220,,1347010,,2598230,NA,1251220,,1347010,
Mother tongue,    Official languages,NA,1411345,NA,697965,,713380,,1411345,NA,697965,,713380,
Mother tongue,      English,NA,1375900,NA,681120,,694780,,1375900,NA,681120,,694780,
Mother tongue,      French,NA,35440,NA,16845,,18595,,35440,NA,16845,,18595,
Mother tongue,    Non-official languages,NA,1186885,NA,553255,,633635,,1186885,NA,553255,,633635,
Mother tongue,      Aboriginal languages,NA,425,NA,185,,235,,425,NA,185,,235,
Mother tongue,        Algonquian languages,NA,315,NA,140,,175,,315,NA,140,,175,
Mother tongue,          Blackfoot,NA,0,NA,5,,0,,0,NA,5,,0,
Mother tongue,          Cree-Montagnais languages,NA,90,NA,35,,55,,90,NA,35,,55,
Mother tongue,            Atikamekw,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Montagnais (Innu),NA,5,NA,5,,0,,5,NA,5,,0,
Mother tongue,            Moose Cree,NA,10,NA,5,,5,,10,NA,5,,5,
Mother tongue,            Naskapi,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Northern East Cree,NA,5,NA,5,,0,,5,NA,5,,0,
Mother tongue,            Plains Cree,NA,10,NA,0,,5,,10,NA,0,,5,
Mother tongue,            Southern East Cree,NA,5,NA,0,,0,,5,NA,0,,0,
Mother tongue,            Swampy Cree,NA,20,NA,5,,15,,20,NA,5,,15,
Mother tongue,            Woods Cree,NA,5,NA,5,,0,,5,NA,5,,0,
Mother tongue,            Cree; n.o.s.,NA,45,NA,15,,30,,45,NA,15,,30,
Mother tongue,          Eastern Algonquian languages,NA,20,NA,10,,10,,20,NA,10,,10,
Mother tongue,            Malecite,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Mi'kmaq,NA,20,NA,10,,10,,20,NA,10,,10,
Mother tongue,          Ojibway-Potawatomi languages,NA,195,NA,95,,105,,195,NA,95,,105,
Mother tongue,            Algonquin,NA,5,NA,0,,0,,5,NA,0,,0,
Mother tongue,            Ojibway,NA,175,NA,85,,90,,175,NA,85,,90,
Mother tongue,            Oji-Cree,NA,5,NA,5,,5,,5,NA,5,,5,
Mother tongue,            Ottawa (Odawa),NA,10,NA,5,,5,,10,NA,5,,5,
Mother tongue,          Algonquian languages; n.i.e.,NA,5,NA,5,,5,,5,NA,5,,5,
Mother tongue,        Athabaskan languages,NA,15,NA,10,,5,,15,NA,10,,5,
Mother tongue,          Northern Athabaskan languages,NA,10,NA,10,,5,,10,NA,10,,5,
Mother tongue,            Babine (Wetsuwet'en),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Beaver,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Carrier,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Chilcotin,NA,5,NA,0,,5,,5,NA,0,,5,
Mother tongue,            Dene,NA,5,NA,5,,5,,5,NA,5,,5,
Mother tongue,            Dogrib (Tlicho),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Gwich'in,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Sarsi (Sarcee),NA,5,NA,5,,0,,5,NA,5,,0,
Mother tongue,            Sekani,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Slavey-Hare languages,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              North Slavey (Hare),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              South Slavey,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              Slavey; n.o.s.,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Tahltan languages,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              Kaska (Nahani),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              Tahltan,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,            Tutchone languages,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              Northern Tutchone,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,              Southern Tutchone,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Athabaskan languages; n.i.e.,NA,5,NA,5,,5,,5,NA,5,,5,
Mother tongue,        Haida,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Inuit languages,NA,20,NA,0,,20,,20,NA,0,,20,
Mother tongue,          Inuinnaqtun (Inuvialuktun),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Inuktitut,NA,15,NA,0,,20,,15,NA,0,,20,
Mother tongue,          Inuit languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Iroquoian languages,NA,10,NA,0,,10,,10,NA,0,,10,
Mother tongue,          Cayuga,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Mohawk,NA,5,NA,5,,5,,5,NA,5,,5,
Mother tongue,          Oneida,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Iroquoian languages; n.i.e.,NA,5,NA,0,,0,,5,NA,0,,0,
Mother tongue,        Kutenai,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Michif,NA,5,NA,0,,5,,5,NA,0,,5,
Mother tongue,        Salish languages,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Comox,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Halkomelem,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Lillooet,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Okanagan,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Shuswap (Secwepemctsin),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Squamish,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Straits,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Thompson (Ntlakapamux),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Salish languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Siouan languages,NA,5,NA,0,,0,,5,NA,0,,0,
Mother tongue,          Dakota,NA,0,NA,5,,0,,0,NA,5,,0,
Mother tongue,          Stoney,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Siouan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Tlingit,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Tsimshian languages,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Gitxsan (Gitksan),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Nisga'a,NA,0,NA,5,,0,,0,NA,5,,0,
Mother tongue,          Tsimshian,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Wakashan languages,NA,5,NA,0,,0,,5,NA,0,,0,
Mother tongue,          Haisla,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Heiltsuk,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Kwakiutl (Kwak'wala),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Nuu-chah-nulth (Nootka),NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,          Wakashan languages; n.i.e.,NA,0,NA,0,,0,,0,NA,0,,0,
Mother tongue,        Aboriginal languages; n.o.s.,NA,55,NA,30,,25,,55,NA,30,,25,
Mother tongue,      Non-Aboriginal languages,NA,1186465,NA,553070,,633395,,1186465,NA,553070,,633395,
Mother tongue,        Afro-Asiatic languages,NA,65540,NA,32330,,33205,,65540,NA,32330,,33205,
Mother tongue,          Berber languages,NA,135,NA,80,,55,,135,NA,80,,55,
Mother tongue,            Kabyle,NA,60,NA,30,,25,,60,NA,30,,25,
Mother tongue,            Berber languages; n.i.e.,NA,75,NA,45,,30,,75,NA,45,,30,
Mother tongue,          Cushitic languages,NA,12355,NA,5300,,7050,,12355,NA,5300,,7050,
Mother tongue,            Bilen,NA,75,NA,45,,30,,75,NA,45,,30,
Mother tongue,            Oromo,NA,860,NA,420,,435,,860,NA,420,,435,
Mother tongue,            Somali,NA,11375,NA,4810,,6565,,11375,NA,4810,,6565,
Mother tongue,            Cushitic languages; n.i.e.,NA,50,NA,30,,20,,50,NA,30,,20,
Mother tongue,          Semitic languages,NA,52845,NA,26840,,26010,,52845,NA,26840,,26010,
Mother tongue,            Amharic,NA,6425,NA,2880,,3550,,6425,NA,2880,,3550,
Mother tongue,            Arabic,NA,29825,NA,15745,,14075,,29825,NA,15745,,14075,
Mother tongue,            Assyrian Neo-Aramaic,NA,4840,NA,2360,,2480,,4840,NA,2360,,2480,
Mother tongue,            Chaldean Neo-Aramaic,NA,700,NA,360,,335,,700,NA,360,,335,
Mother tongue,            Harari,NA,755,NA,350,,405,,755,NA,350,,405,
Mother tongue,            Hebrew,NA,4350,NA,2345,,2005,,4350,NA,2345,,2005,
Mother tongue,            Maltese,NA,1430,NA,715,,710,,1430,NA,715,,710,
Mother tongue,            Tigrigna,NA,4150,NA,1890,,2260,,4150,NA,1890,,2260,
Mother tongue,            Semitic languages; n.i.e.,NA,380,NA,190,,190,,380,NA,190,,190,
Mother tongue,          Afro-Asiatic languages; n.i.e.,NA,200,NA,115,,90,,200,NA,115,,90,
Mother tongue,        Austro-Asiatic languages,NA,26165,NA,11860,,14305,,26165,NA,11860,,14305,
Mother tongue,          Khmer (Cambodian),NA,1365,NA,595,,770,,1365,NA,595,,770,
Mother tongue,          Vietnamese,NA,24775,NA,11255,,13520,,24775,NA,11255,,13520,
Mother tongue,          Austro-Asiatic languages; n.i.e,NA,20,NA,10,,15,,20,NA,10,,15,
Mother tongue,        Austronesian languages,NA,99750,NA,39030,,60725,,99750,NA,39030,,60725,
Mother tongue,          Bikol,NA,320,NA,135,,185,,320,NA,135,,185,
Mother tongue,          Cebuano,NA,3390,NA,1335,,2055,,3390,NA,1335,,2055,
Mother tongue,          Fijian,NA,25,NA,15,,10,,25,NA,15,,10,
Mother tongue,          Hiligaynon,NA,1695,NA,665,,1040,,1695,NA,665,,1040,
Mother tongue,          Ilocano,NA,7135,NA,2765,,4375,,7135,NA,2765,,4375,
Mother tongue,          Malagasy,NA,20,NA,10,,10,,20,NA,10,,10,
Mother tongue,          Malay,NA,1930,NA,880,,1050,,1930,NA,880,,1050,
Mother tongue,          Pampangan (Kapampangan; Pampango),NA,720,NA,310,,410,,720,NA,310,,410,
Mother tongue,          Pangasinan,NA,320,NA,125,,200,,320,NA,125,,200,
Mother tongue,          Tagalog (Pilipino; Filipino),NA,83230,NA,32445,,50785,,83230,NA,32445,,50785,
Mother tongue,          Waray-Waray,NA,210,NA,60,,150,,210,NA,60,,150,
Mother tongue,          Austronesian languages; n.i.e.,NA,755,NA,290,,465,,755,NA,290,,465,
Mother tongue,        Creole languages,NA,3015,NA,1350,,1660,,3015,NA,1350,,1660,
Mother tongue,          Haitian Creole,NA,165,NA,75,,85,,165,NA,75,,85,
Mother tongue,          Creole; n.o.s.,NA,1825,NA,815,,1010,,1825,NA,815,,1010,
Mother tongue,          Creole languages; n.i.e.,NA,1020,NA,460,,560,,1020,NA,460,,560,
Mother tongue,        Dravidian languages,NA,67055,NA,33175,,33880,,67055,NA,33175,,33880,
Mother tongue,          Kannada,NA,730,NA,380,,350,,730,NA,380,,350,
Mother tongue,          Malayalam,NA,4560,NA,2460,,2100,,4560,NA,2460,,2100,
Mother tongue,          Tamil,NA,57535,NA,27935,,29600,,57535,NA,27935,,29600,
Mother tongue,          Telugu,NA,4125,NA,2355,,1775,,4125,NA,2355,,1775,
Mother tongue,          Dravidian languages; n.i.e.,NA,100,NA,45,,55,,100,NA,45,,55,
Mother tongue,        Hmong-Mien languages,NA,20,NA,5,,10,,20,NA,5,,10,
Mother tongue,        Indo-European languages,NA,589410,NA,282355,,307055,,589410,NA,282355,,307055,
Mother tongue,          Albanian,NA,8495,NA,4225,,4270,,8495,NA,4225,,4270,
Mother tongue,          Armenian,NA,7845,NA,3740,,4105,,7845,NA,3740,,4105,
Mother tongue,          Balto-Slavic languages,NA,120445,NA,53650,,66790,,120445,NA,53650,,66790,
Mother tongue,            Baltic languages,NA,3490,NA,1365,,2125,,3490,NA,1365,,2125,
Mother tongue,              Latvian,NA,1610,NA,645,,965,,1610,NA,645,,965,
Mother tongue,              Lithuanian,NA,1880,NA,725,,1160,,1880,NA,725,,1160,
Mother tongue,            Slavic languages,NA,116955,NA,52290,,64665,,116955,NA,52290,,64665,
Mother tongue,              Belarusan,NA,195,NA,95,,100,,195,NA,95,,100,
Mother tongue,              Bosnian,NA,1105,NA,525,,580,,1105,NA,525,,580,
Mother tongue,              Bulgarian,NA,4345,NA,2075,,2270,,4345,NA,2075,,2270,
Mother tongue,              Croatian,NA,5570,NA,2535,,3035,,5570,NA,2535,,3035,
Mother tongue,              Czech,NA,2860,NA,1345,,1515,,2860,NA,1345,,1515,
Mother tongue,              Macedonian,NA,6190,NA,2920,,3270,,6190,NA,2920,,3270,
Mother tongue,              Polish,NA,25060,NA,10845,,14215,,25060,NA,10845,,14215,
Mother tongue,              Russian,NA,36145,NA,15805,,20345,,36145,NA,15805,,20345,
Mother tongue,              Serbian,NA,13380,NA,6450,,6930,,13380,NA,6450,,6930,
Mother tongue,              Serbo-Croatian,NA,1470,NA,670,,800,,1470,NA,670,,800,
Mother tongue,              Slovak,NA,3095,NA,1455,,1645,,3095,NA,1455,,1645,
Mother tongue,              Slovene (Slovenian),NA,1785,NA,750,,1035,,1785,NA,750,,1035,
Mother tongue,              Ukrainian,NA,15465,NA,6685,,8785,,15465,NA,6685,,8785,
Mother tongue,              Slavic languages; n.i.e.,NA,280,NA,140,,140,,280,NA,140,,140,
Mother tongue,          Celtic languages,NA,275,NA,125,,145,,275,NA,125,,145,
Mother tongue,            Scottish Gaelic,NA,80,NA,35,,40,,80,NA,35,,40,
Mother tongue,            Welsh,NA,85,NA,30,,55,,85,NA,30,,55,
Mother tongue,            Celtic languages; n.i.e.,NA,110,NA,60,,45,,110,NA,60,,45,
Mother tongue,          Germanic languages,NA,22310,NA,10095,,12215,,22310,NA,10095,,12215,
Mother tongue,            Afrikaans,NA,405,NA,210,,190,,405,NA,210,,190,
Mother tongue,            Danish,NA,665,NA,285,,380,,665,NA,285,,380,
Mother tongue,            Dutch,NA,3180,NA,1535,,1645,,3180,NA,1535,,1645,
Mother tongue,            Frisian,NA,40,NA,25,,15,,40,NA,25,,15,
Mother tongue,            German,NA,14515,NA,6440,,8075,,14515,NA,6440,,8075,
Mother tongue,            Icelandic,NA,65,NA,35,,30,,65,NA,35,,30,
Mother tongue,            Norwegian,NA,230,NA,105,,130,,230,NA,105,,130,
Mother tongue,            Swedish,NA,700,NA,305,,395,,700,NA,305,,395,
Mother tongue,            Vlaams (Flemish),NA,130,NA,50,,80,,130,NA,50,,80,
Mother tongue,            Yiddish,NA,2350,NA,1095,,1255,,2350,NA,1095,,1255,
Mother tongue,            Germanic languages; n.i.e.,NA,35,NA,15,,20,,35,NA,15,,20,
Mother tongue,          Greek,NA,27840,NA,13415,,14425,,27840,NA,13415,,14425,
Mother tongue,          Indo-Iranian languages,NA,194760,NA,99110,,95650,,194760,NA,99110,,95650,
Mother tongue,            Indo-Aryan languages,NA,138625,NA,70700,,67930,,138625,NA,70700,,67930,
Mother tongue,              Bengali,NA,28460,NA,14365,,14090,,28460,NA,14365,,14090,
Mother tongue,              Gujarati,NA,26400,NA,13520,,12880,,26400,NA,13520,,12880,
Mother tongue,              Hindi,NA,15230,NA,7960,,7270,,15230,NA,7960,,7270,
Mother tongue,              Kashmiri,NA,80,NA,45,,40,,80,NA,45,,40,
Mother tongue,              Konkani,NA,745,NA,355,,390,,745,NA,355,,390,
Mother tongue,              Marathi,NA,1760,NA,925,,835,,1760,NA,925,,835,
Mother tongue,              Nepali,NA,2540,NA,1290,,1245,,2540,NA,1290,,1245,
Mother tongue,              Oriya (Odia),NA,300,NA,165,,135,,300,NA,165,,135,
Mother tongue,              Punjabi (Panjabi),NA,19965,NA,10380,,9590,,19965,NA,10380,,9590,
Mother tongue,              Sindhi,NA,2440,NA,1080,,1355,,2440,NA,1080,,1355,
